CreditScore,AppliedLoanAmount,Purpose,ProposedInterestRate,ProposedLoanAmount,ProposedLoanTerm
812,14000,Community Projects,2.64,12000,24
653,8000,Education Fees,6.16,7000,48
839,29000,Childcare Expenses,2.69,26000,48
716,94000,Business Expansion,4.37,83000,60
738,22000,Emergency Personal Funds,5.33,18000,60
812,30000,Marketing and Advertising,3.46,24000,24
818,64000,Emergency Business Funds,3.3,63000,36
837,58000,Emergency Business Funds,3.37,50000,36
658,61000,Technology Upgrade,5.81,60000,36
642,15000,Wedding Expenses,8.27,14000,48
656,11000,Green Initiatives,6.72,9000,24
620,100000,Childcare Expenses,8.04,81000,60
826,59000,Emergency Business Funds,3.22,48000,12
845,96000,Business Expansion,2.75,79000,60
747,39000,Business Expansion,5.19,37000,60
688,16000,Emergency Business Funds,6.63,15000,12
617,23000,Working Capital,8.51,19000,24
608,79000,Agriculture Expenses,7.0,63000,60
698,27000,Marketing and Advertising,6.21,24000,24
819,27000,Agriculture Expenses,3.71,24000,48
637,11000,Community Projects,8.57,8000,12
691,89000,Travel Costs,5.49,88000,60
687,45000,Business Expansion,6.53,40000,72
809,90000,Childcare Expenses,3.52,76000,48
617,99000,Social Enterprise,8.22,81000,12
664,99000,Agriculture Expenses,6.57,84000,60
736,31000,Childcare Expenses,5.01,25000,72
683,30000,Wedding Expenses,5.91,28000,48
819,86000,Home Renovation,3.21,82000,60
700,87000,Wedding Expenses,4.55,77000,48
839,83000,Training and Development,3.27,81000,24
608,44000,Technology Upgrade,7.64,41000,12
771,90000,Technology Upgrade,3.25,88000,12
787,43000,Inventory Purchase,3.67,34000,24
782,94000,Wedding Expenses,2.83,91000,60
769,22000,Training and Development,3.72,20000,36
614,85000,Working Capital,6.97,77000,24
688,78000,Emergency Business Funds,6.94,64000,12
602,62000,Marketing and Advertising,8.42,53000,12
717,97000,Vehicle for Business Use,3.96,82000,48
803,13000,Social Enterprise,3.5,10000,36
758,55000,Travel Costs,3.38,46000,72
720,65000,Wedding Expenses,4.24,64000,48
625,11000,Healthcare Expenses,7.75,9000,48
747,7000,Business Expansion,5.11,5000,48
739,8000,Education Fees,4.23,7000,72
602,65000,Vehicle for Business Use,8.0,64000,72
729,89000,Wedding Expenses,4.57,76000,60
839,59000,Education Fees,2.98,48000,48
725,86000,Emergency Business Funds,4.34,85000,12
849,27000,Equipment Purchase,2.47,25000,36
702,26000,Debt Consolidation,5.29,23000,72
833,95000,Vehicle for Business Use,3.21,94000,48
785,71000,Debt Consolidation,3.06,65000,48
847,99000,Marketing and Advertising,2.51,96000,24
826,9000,Wedding Expenses,3.29,8000,60
646,73000,Startup Capital,8.84,69000,36
688,96000,Equipment Purchase,5.48,94000,12
832,23000,Travel Costs,2.66,21000,72
773,56000,Emergency Personal Funds,2.91,46000,48
795,79000,Emergency Business Funds,3.81,76000,36
745,61000,Childcare Expenses,4.2,59000,48
741,90000,Working Capital,5.29,89000,36
819,98000,Emergency Business Funds,3.12,84000,36
664,75000,Green Initiatives,6.85,61000,12
697,64000,Childcare Expenses,6.65,55000,72
772,69000,Education Fees,2.54,55000,60
689,6000,Childcare Expenses,6.07,4000,60
796,8000,Emergency Personal Funds,2.64,7000,60
754,69000,Vehicle for Business Use,2.86,63000,60
613,74000,Education Fees,8.07,68000,60
832,66000,Utility Payments,3.69,59000,24
817,54000,Education Fees,3.5,51000,60
628,55000,Education Fees,8.7,52000,60
802,86000,Agriculture Expenses,3.54,74000,72
728,78000,Wedding Expenses,5.2,63000,72
648,73000,Community Projects,8.86,59000,24
832,23000,Marketing and Advertising,2.77,20000,12
612,94000,Equipment Purchase,7.21,91000,24
647,18000,Travel Costs,8.67,17000,48
687,54000,Equipment Purchase,5.9,49000,36
847,97000,Inventory Purchase,3.11,79000,12
811,31000,Equipment Purchase,3.36,28000,12
759,71000,Social Enterprise,3.28,63000,36
841,38000,Emergency Business Funds,3.45,35000,24
675,90000,Healthcare Expenses,6.19,80000,72
813,39000,Green Initiatives,3.59,38000,24
766,94000,Education Fees,3.85,81000,60
635,91000,Childcare Expenses,8.42,88000,72
750,88000,Equipment Purchase,2.61,85000,12
767,23000,Emergency Personal Funds,3.34,19000,48
809,34000,Wedding Expenses,2.61,31000,60
658,94000,Technology Upgrade,6.13,83000,12
687,58000,Education Fees,6.04,51000,60
616,24000,Marketing and Advertising,7.82,19000,24
600,71000,Equipment Purchase,8.65,63000,36
603,31000,Technology Upgrade,6.98,30000,12
749,51000,Marketing and Advertising,5.44,44000,12
712,89000,Agriculture Expenses,4.53,87000,48
789,10000,Technology Upgrade,3.51,8000,24
795,18000,Education Fees,2.72,15000,48
674,5000,Startup Capital,6.06,4000,12
763,33000,Education Fees,2.83,28000,60
685,26000,Healthcare Expenses,6.46,23000,72
684,79000,Agriculture Expenses,5.7,68000,48
814,86000,Emergency Personal Funds,3.1,84000,72
721,9000,Business Expansion,4.83,8000,48
751,35000,Wedding Expenses,2.64,31000,48
646,44000,Childcare Expenses,8.3,37000,72
746,95000,Technology Upgrade,4.39,86000,24
661,68000,Marketing and Advertising,6.44,60000,36
601,7000,Wedding Expenses,7.92,6000,60
656,56000,Home Renovation,6.58,48000,72
696,68000,Business Expansion,6.05,65000,60
624,14000,Working Capital,7.55,12000,12
652,56000,Travel Costs,5.46,51000,60
679,34000,Technology Upgrade,6.33,33000,12
734,80000,Social Enterprise,3.98,68000,36
730,31000,Community Projects,4.03,29000,12
703,7000,Emergency Business Funds,5.41,6000,24
844,39000,Healthcare Expenses,2.54,36000,60
686,34000,Debt Consolidation,5.74,31000,72
736,93000,Education Fees,4.79,86000,60
624,87000,Marketing and Advertising,8.13,73000,12
667,59000,Education Fees,6.86,53000,72
693,93000,Vehicle for Business Use,6.15,80000,60
725,55000,Technology Upgrade,4.18,51000,24
829,41000,Inventory Purchase,3.14,36000,12
622,81000,Marketing and Advertising,7.26,80000,12
653,20000,Home Renovation,6.09,17000,60
833,59000,Utility Payments,2.72,52000,12
843,9000,Education Fees,3.15,7000,48
799,84000,Equipment Purchase,3.88,73000,24
649,90000,Education Fees,8.01,78000,48
682,14000,Travel Costs,5.6,13000,72
622,33000,Green Initiatives,7.85,31000,12
777,79000,Green Initiatives,3.84,77000,12
761,15000,Healthcare Expenses,2.77,14000,60
761,55000,Working Capital,2.69,51000,12
637,79000,Utility Payments,8.9,68000,36
835,17000,Community Projects,3.86,15000,24
831,49000,Education Fees,3.04,41000,60
711,81000,Agriculture Expenses,4.17,80000,72
638,63000,Equipment Purchase,8.86,51000,24
644,75000,Marketing and Advertising,7.14,62000,12
767,76000,Business Expansion,3.86,62000,48
718,72000,Technology Upgrade,5.06,58000,12
647,40000,Healthcare Expenses,7.93,38000,60
600,36000,Home Renovation,7.68,35000,48
797,89000,Technology Upgrade,2.8,87000,36
706,73000,Working Capital,4.42,70000,12
646,96000,Working Capital,8.56,94000,24
841,88000,Home Renovation,2.82,77000,60
679,22000,Utility Payments,6.85,19000,24
706,60000,Startup Capital,4.3,56000,12
731,33000,Wedding Expenses,5.05,27000,48
718,31000,Wedding Expenses,5.26,26000,48
738,59000,Home Renovation,4.87,57000,72
806,61000,Social Enterprise,3.26,54000,12
847,11000,Working Capital,2.89,10000,24
772,36000,Working Capital,3.34,35000,24
829,65000,Healthcare Expenses,3.39,53000,72
773,35000,Emergency Personal Funds,2.49,28000,72
631,31000,Startup Capital,7.59,25000,24
729,15000,Emergency Business Funds,5.09,12000,36
824,63000,Equipment Purchase,2.99,61000,12
707,71000,Emergency Business Funds,4.02,61000,12
605,87000,Training and Development,8.02,74000,12
814,57000,Equipment Purchase,2.47,52000,12
640,87000,Emergency Personal Funds,7.47,82000,48
614,51000,Healthcare Expenses,8.2,47000,72
845,98000,Training and Development,3.59,97000,12
833,18000,Working Capital,3.03,16000,36
779,77000,Green Initiatives,3.16,63000,12
686,49000,Green Initiatives,6.76,44000,12
777,23000,Utility Payments,3.76,21000,12
754,80000,Equipment Purchase,3.83,65000,36
827,76000,Education Fees,2.48,68000,60
635,24000,Community Projects,8.62,19000,36
767,27000,Green Initiatives,3.69,24000,36
629,72000,Inventory Purchase,7.29,71000,12
830,71000,Debt Consolidation,3.4,61000,48
702,39000,Vehicle for Business Use,4.91,37000,48
693,74000,Travel Costs,6.43,60000,60
713,43000,Working Capital,4.25,37000,12
674,84000,Training and Development,6.69,79000,12
722,28000,Vehicle for Business Use,5.44,27000,48
618,88000,Home Renovation,7.52,75000,72
694,58000,Working Capital,6.41,51000,24
761,7000,Working Capital,3.68,6000,12
612,29000,Agriculture Expenses,8.68,24000,48
600,79000,Childcare Expenses,8.52,72000,60
613,18000,Marketing and Advertising,8.24,17000,24
614,18000,Utility Payments,7.5,15000,24
698,78000,Wedding Expenses,5.79,74000,72
679,50000,Travel Costs,6.73,46000,60
835,79000,Community Projects,3.84,66000,12
698,36000,Community Projects,6.31,32000,24
619,28000,Equipment Purchase,7.55,25000,24
720,53000,Startup Capital,4.81,42000,12
673,49000,Community Projects,6.17,46000,36
643,71000,Agriculture Expenses,7.94,65000,60
825,5000,Social Enterprise,3.84,4000,24
819,67000,Green Initiatives,2.77,54000,12
727,61000,Wedding Expenses,4.54,54000,60
665,45000,Business Expansion,5.87,40000,72
698,51000,Training and Development,5.69,50000,36
656,80000,Childcare Expenses,6.44,70000,60
758,62000,Startup Capital,3.16,60000,24
650,13000,Social Enterprise,5.7,12000,12
688,88000,Training and Development,6.67,80000,36
815,24000,Home Renovation,2.79,20000,60
634,71000,Healthcare Expenses,8.19,69000,72
651,26000,Social Enterprise,5.61,21000,12
647,28000,Healthcare Expenses,8.22,24000,48
674,68000,Debt Consolidation,5.61,67000,72
747,40000,Debt Consolidation,5.13,38000,72
764,21000,Vehicle for Business Use,2.53,18000,72
760,8000,Emergency Business Funds,3.84,6000,12
766,82000,Community Projects,3.47,68000,24
609,85000,Green Initiatives,8.88,84000,36
829,81000,Marketing and Advertising,2.7,68000,36
731,18000,Inventory Purchase,4.68,17000,24
782,96000,Education Fees,3.32,87000,60
755,52000,Debt Consolidation,3.25,50000,48
695,94000,Training and Development,6.15,83000,36
683,60000,Education Fees,6.34,53000,60
811,65000,Home Renovation,2.49,63000,72
775,79000,Business Expansion,3.91,77000,48
722,20000,Green Initiatives,4.51,17000,12
698,24000,Startup Capital,5.62,22000,36
781,41000,Community Projects,2.98,33000,36
662,39000,Working Capital,6.19,38000,36
705,64000,Vehicle for Business Use,4.75,60000,72
716,51000,Green Initiatives,4.85,48000,24
827,84000,Healthcare Expenses,2.96,75000,48
654,71000,Home Renovation,5.95,63000,60
755,46000,Emergency Personal Funds,2.49,44000,48
679,37000,Vehicle for Business Use,6.33,34000,60
615,75000,Emergency Business Funds,8.65,73000,12
790,21000,Debt Consolidation,3.91,19000,72
846,92000,Equipment Purchase,2.84,84000,24
744,8000,Education Fees,5.36,7000,60
604,25000,Utility Payments,7.94,23000,12
614,39000,Equipment Purchase,7.79,32000,24
709,99000,Community Projects,5.35,82000,24
616,60000,Business Expansion,8.2,54000,60
628,31000,Wedding Expenses,7.98,29000,60
760,18000,Vehicle for Business Use,2.92,15000,72
627,25000,Utility Payments,7.53,24000,12
785,97000,Agriculture Expenses,2.54,96000,48
661,93000,Training and Development,6.31,75000,36
770,35000,Emergency Business Funds,2.98,28000,24
806,18000,Equipment Purchase,2.69,16000,24
688,36000,Community Projects,6.1,34000,24
728,93000,Marketing and Advertising,5.13,90000,36
792,56000,Startup Capital,3.57,53000,36
846,66000,Travel Costs,2.53,63000,48
740,71000,Education Fees,4.63,65000,60
629,78000,Education Fees,7.61,66000,60
644,57000,Vehicle for Business Use,7.27,55000,72
725,11000,Marketing and Advertising,4.9,10000,24
725,77000,Marketing and Advertising,4.77,62000,24
634,7000,Childcare Expenses,7.96,5000,48
796,83000,Wedding Expenses,3.88,75000,72
600,75000,Emergency Business Funds,7.0,71000,36
764,46000,Travel Costs,2.83,38000,60
649,100000,Education Fees,7.59,82000,48
766,16000,Green Initiatives,3.03,14000,12
637,59000,Utility Payments,7.22,57000,12
777,90000,Business Expansion,2.68,79000,60
755,40000,Community Projects,2.51,33000,24
662,82000,Startup Capital,6.31,76000,24
641,66000,Home Renovation,8.64,57000,48
618,64000,Agriculture Expenses,8.81,53000,48
644,58000,Wedding Expenses,7.42,55000,48
647,86000,Green Initiatives,8.01,75000,12
617,11000,Equipment Purchase,7.38,9000,24
812,11000,Inventory Purchase,3.32,10000,24
827,84000,Debt Consolidation,3.18,74000,48
639,82000,Utility Payments,7.22,79000,24
700,98000,Green Initiatives,4.48,95000,24
609,48000,Utility Payments,8.16,42000,36
740,7000,Inventory Purchase,4.33,5000,36
642,61000,Debt Consolidation,7.22,53000,60
679,63000,Vehicle for Business Use,5.8,50000,72
656,87000,Business Expansion,5.84,75000,72
726,5000,Education Fees,5.38,4000,72
609,91000,Wedding Expenses,7.94,82000,48
748,58000,Social Enterprise,4.81,55000,12
772,76000,Education Fees,4.0,73000,72
850,90000,Green Initiatives,2.88,77000,24
791,50000,Wedding Expenses,3.14,47000,72
798,51000,Emergency Business Funds,3.36,48000,36
671,90000,Utility Payments,5.53,84000,24
675,70000,Working Capital,6.94,68000,12
618,65000,Emergency Business Funds,7.38,61000,12
817,49000,Utility Payments,2.66,42000,12
804,18000,Community Projects,2.69,15000,12
704,48000,Technology Upgrade,4.1,41000,36
819,46000,Community Projects,2.99,44000,36
807,6000,Business Expansion,3.42,5000,48
661,34000,Utility Payments,5.79,32000,24
720,100000,Healthcare Expenses,5.04,96000,48
638,6000,Emergency Personal Funds,8.43,5000,48
640,6000,Inventory Purchase,8.43,5000,36
766,51000,Emergency Personal Funds,2.89,48000,48
819,90000,Startup Capital,2.61,86000,24
639,54000,Healthcare Expenses,8.3,45000,72
802,90000,Marketing and Advertising,3.32,73000,12
815,65000,Education Fees,2.8,53000,48
619,15000,Technology Upgrade,7.32,14000,24
631,40000,Utility Payments,7.03,37000,12
646,48000,Vehicle for Business Use,8.08,40000,60
801,83000,Healthcare Expenses,3.3,80000,48
681,74000,Emergency Business Funds,5.62,67000,24
660,59000,Startup Capital,5.68,53000,24
748,12000,Vehicle for Business Use,4.17,10000,72
662,44000,Wedding Expenses,5.64,35000,60
819,69000,Technology Upgrade,3.82,64000,36
683,10000,Childcare Expenses,6.46,8000,60
784,80000,Green Initiatives,3.21,66000,24
761,62000,Startup Capital,3.77,54000,24
758,28000,Social Enterprise,3.88,26000,24
775,30000,Startup Capital,3.11,27000,24
683,98000,Education Fees,6.42,94000,60
654,56000,Wedding Expenses,5.81,44000,60
736,64000,Utility Payments,4.89,62000,36
774,14000,Emergency Personal Funds,3.52,13000,60
709,41000,Inventory Purchase,5.26,37000,36
814,35000,Wedding Expenses,3.13,34000,48
697,81000,Emergency Personal Funds,6.65,77000,60
707,29000,Emergency Personal Funds,4.27,23000,60
686,56000,Social Enterprise,5.87,55000,36
753,8000,Training and Development,2.9,7000,24
745,63000,Business Expansion,4.8,55000,48
747,49000,Home Renovation,4.32,40000,48
641,18000,Equipment Purchase,7.01,17000,24
810,13000,Healthcare Expenses,3.28,11000,60
659,99000,Community Projects,6.2,89000,36
617,46000,Working Capital,8.66,36000,24
837,72000,Startup Capital,3.47,69000,24
801,88000,Vehicle for Business Use,3.48,74000,60
847,31000,Healthcare Expenses,2.78,27000,60
660,79000,Vehicle for Business Use,5.67,75000,48
726,35000,Inventory Purchase,4.43,30000,12
795,20000,Business Expansion,3.94,16000,48
656,53000,Inventory Purchase,6.59,52000,12
730,24000,Agriculture Expenses,4.76,20000,60
774,44000,Healthcare Expenses,3.12,35000,60
609,47000,Home Renovation,7.72,42000,48
690,41000,Wedding Expenses,6.21,39000,72
660,42000,Green Initiatives,6.34,34000,12
679,49000,Healthcare Expenses,6.73,41000,60
638,27000,Training and Development,8.4,22000,24
643,20000,Emergency Business Funds,7.67,19000,12
825,83000,Community Projects,3.44,68000,36
747,68000,Education Fees,4.44,62000,48
795,63000,Green Initiatives,3.42,52000,24
680,86000,Green Initiatives,6.33,75000,36
761,96000,Education Fees,3.52,82000,48
605,59000,Emergency Personal Funds,7.59,58000,48
632,98000,Debt Consolidation,7.76,84000,48
730,81000,Working Capital,4.5,73000,36
716,93000,Community Projects,4.07,79000,24
719,74000,Training and Development,4.47,63000,36
652,46000,Agriculture Expenses,5.95,45000,72
644,13000,Wedding Expenses,7.93,11000,48
671,33000,Equipment Purchase,6.93,28000,24
603,52000,Home Renovation,8.82,48000,60
686,34000,Utility Payments,6.29,32000,12
693,56000,Training and Development,6.88,45000,24
820,25000,Debt Consolidation,2.83,20000,72
702,81000,Technology Upgrade,4.26,70000,24
848,24000,Business Expansion,3.87,19000,48
662,60000,Debt Consolidation,5.66,57000,72
828,7000,Social Enterprise,2.9,5000,12
649,24000,Wedding Expenses,8.44,20000,72
756,88000,Working Capital,3.0,85000,24
726,73000,Emergency Personal Funds,4.77,63000,72
768,55000,Wedding Expenses,3.37,47000,60
658,36000,Agriculture Expenses,6.17,29000,48
706,38000,Travel Costs,4.86,34000,60
809,42000,Marketing and Advertising,3.88,34000,36
750,81000,Inventory Purchase,3.33,70000,36
689,31000,Travel Costs,6.94,30000,60
696,16000,Healthcare Expenses,5.65,14000,60
768,83000,Technology Upgrade,3.18,82000,24
725,9000,Startup Capital,4.83,8000,24
605,32000,Community Projects,7.59,27000,12
746,38000,Healthcare Expenses,4.0,36000,72
808,5000,Home Renovation,2.8,4000,72
803,18000,Emergency Business Funds,3.38,16000,24
648,86000,Utility Payments,7.31,69000,12
799,20000,Working Capital,3.89,19000,12
694,79000,Social Enterprise,6.18,73000,12
715,82000,Travel Costs,4.13,75000,72
718,81000,Inventory Purchase,5.25,67000,36
848,61000,Travel Costs,2.97,54000,72
794,96000,Technology Upgrade,2.69,90000,36
842,9000,Utility Payments,3.14,7000,12
729,60000,Emergency Business Funds,4.68,57000,12
728,56000,Education Fees,5.38,46000,72
679,98000,Inventory Purchase,6.43,92000,12
671,21000,Marketing and Advertising,5.46,17000,24
686,28000,Social Enterprise,6.56,25000,12
772,81000,Wedding Expenses,3.41,76000,72
735,92000,Business Expansion,5.19,82000,72
726,82000,Working Capital,4.03,74000,24
808,35000,Working Capital,2.86,32000,36
839,74000,Social Enterprise,3.54,66000,12
670,77000,Travel Costs,6.17,69000,72
676,64000,Utility Payments,6.12,53000,36
646,58000,Agriculture Expenses,8.16,51000,60
797,66000,Education Fees,3.28,58000,48
836,74000,Childcare Expenses,3.05,66000,60
646,50000,Working Capital,8.12,47000,12
712,54000,Equipment Purchase,5.06,44000,24
846,52000,Healthcare Expenses,3.94,48000,72
640,71000,Inventory Purchase,8.95,59000,24
739,80000,Social Enterprise,4.44,76000,12
686,12000,Marketing and Advertising,5.86,10000,12
730,46000,Training and Development,5.34,40000,24
724,19000,Wedding Expenses,4.77,17000,72
770,11000,Inventory Purchase,2.83,9000,12
777,46000,Home Renovation,2.95,45000,72
707,76000,Education Fees,4.92,75000,60
621,54000,Education Fees,7.78,45000,60
702,46000,Childcare Expenses,4.56,36000,72
673,26000,Business Expansion,6.09,25000,60
605,79000,Vehicle for Business Use,8.36,70000,48
806,48000,Childcare Expenses,3.56,46000,60
698,42000,Debt Consolidation,6.21,37000,72
713,45000,Vehicle for Business Use,4.37,38000,48
818,99000,Social Enterprise,3.81,95000,12
642,8000,Childcare Expenses,7.78,7000,72
745,88000,Community Projects,4.49,74000,24
669,46000,Inventory Purchase,5.56,42000,36
698,71000,Wedding Expenses,6.02,61000,60
655,60000,Business Expansion,6.88,56000,72
778,20000,Working Capital,2.99,19000,36
601,11000,Inventory Purchase,8.57,9000,36
794,88000,Childcare Expenses,3.21,73000,60
751,49000,Debt Consolidation,3.54,45000,60
627,88000,Marketing and Advertising,8.69,70000,24
645,78000,Working Capital,8.35,72000,36
796,85000,Training and Development,2.75,70000,24
845,82000,Emergency Personal Funds,2.47,71000,48
751,62000,Green Initiatives,2.94,54000,36
737,57000,Community Projects,4.81,53000,36
679,78000,Working Capital,5.51,70000,36
605,88000,Technology Upgrade,8.39,85000,12
784,38000,Social Enterprise,2.68,31000,24
601,88000,Equipment Purchase,7.24,82000,24
819,88000,Marketing and Advertising,2.59,83000,12
763,51000,Social Enterprise,3.52,44000,12
746,81000,Travel Costs,4.39,73000,48
769,68000,Healthcare Expenses,2.74,64000,60
777,37000,Green Initiatives,2.74,30000,36
623,53000,Equipment Purchase,8.17,43000,12
694,13000,Wedding Expenses,6.79,12000,48
655,5000,Equipment Purchase,5.82,4000,12
682,47000,Business Expansion,6.52,39000,72
621,93000,Marketing and Advertising,7.91,79000,12
817,70000,Travel Costs,2.56,63000,48
701,71000,Working Capital,4.86,70000,12
785,41000,Healthcare Expenses,3.91,40000,60
804,49000,Community Projects,3.26,42000,36
825,38000,Wedding Expenses,2.65,30000,72
814,58000,Marketing and Advertising,3.74,53000,12
761,96000,Social Enterprise,2.49,93000,36
836,62000,Travel Costs,3.9,54000,60
773,62000,Childcare Expenses,3.31,52000,48
814,7000,Vehicle for Business Use,3.73,6000,72
609,59000,Business Expansion,8.02,52000,72
608,93000,Training and Development,7.41,82000,12
661,79000,Community Projects,6.43,64000,24
617,81000,Inventory Purchase,8.92,76000,12
730,16000,Community Projects,4.66,13000,12
633,31000,Working Capital,8.95,26000,24
626,91000,Marketing and Advertising,7.63,83000,36
622,33000,Green Initiatives,7.65,31000,24
604,41000,Wedding Expenses,8.65,37000,48
704,9000,Emergency Personal Funds,5.08,8000,60
659,20000,Startup Capital,6.58,18000,36
787,20000,Marketing and Advertising,3.37,16000,12
738,40000,Utility Payments,4.79,33000,24
672,37000,Emergency Personal Funds,6.94,30000,72
847,70000,Inventory Purchase,3.79,60000,36
716,48000,Training and Development,4.53,41000,36
630,83000,Business Expansion,8.39,72000,48
816,77000,Social Enterprise,3.77,63000,12
694,67000,Childcare Expenses,5.77,66000,48
850,66000,Wedding Expenses,3.12,65000,48
713,11000,Agriculture Expenses,4.34,9000,48
693,87000,Equipment Purchase,6.11,85000,24
776,96000,Emergency Business Funds,2.67,86000,12
629,69000,Inventory Purchase,8.5,64000,12
691,41000,Social Enterprise,6.49,38000,12
723,26000,Emergency Business Funds,5.08,21000,24
657,9000,Business Expansion,6.2,7000,72
616,35000,Inventory Purchase,7.47,34000,36
756,66000,Business Expansion,2.76,52000,60
659,36000,Healthcare Expenses,5.99,35000,48
690,54000,Home Renovation,5.68,44000,60
802,39000,Business Expansion,3.74,34000,48
759,96000,Agriculture Expenses,3.06,83000,60
749,45000,Wedding Expenses,5.25,36000,60
626,63000,Emergency Personal Funds,7.79,61000,72
682,21000,Utility Payments,5.51,18000,36
713,47000,Vehicle for Business Use,4.78,42000,60
620,88000,Business Expansion,8.51,78000,48
710,83000,Startup Capital,4.65,78000,24
846,73000,Childcare Expenses,3.59,63000,48
817,96000,Marketing and Advertising,4.0,95000,24
796,45000,Working Capital,2.72,40000,12
650,56000,Marketing and Advertising,6.08,47000,12
622,44000,Wedding Expenses,7.57,37000,48
747,42000,Marketing and Advertising,5.35,37000,24
849,42000,Home Renovation,2.78,34000,72
650,44000,Travel Costs,6.71,35000,60
779,5000,Emergency Personal Funds,3.06,4000,60
764,93000,Emergency Personal Funds,2.93,87000,48
849,90000,Travel Costs,2.9,83000,60
806,89000,Green Initiatives,2.7,74000,12
766,93000,Technology Upgrade,3.95,87000,24
761,73000,Emergency Personal Funds,3.87,66000,72
831,93000,Startup Capital,2.47,92000,12
816,81000,Equipment Purchase,2.52,66000,36
633,6000,Emergency Business Funds,8.43,5000,12
733,69000,Home Renovation,5.14,66000,48
828,7000,Marketing and Advertising,3.76,5000,12
694,56000,Vehicle for Business Use,5.46,51000,72
837,43000,Business Expansion,3.01,39000,48
781,56000,Travel Costs,2.7,55000,60
765,9000,Equipment Purchase,3.25,7000,12
722,100000,Working Capital,5.34,94000,36
677,7000,Childcare Expenses,6.43,6000,72
835,62000,Childcare Expenses,3.71,56000,60
657,22000,Debt Consolidation,5.68,19000,72
697,64000,Technology Upgrade,6.58,54000,24
718,32000,Training and Development,5.13,28000,36
615,10000,Training and Development,7.92,9000,12
808,34000,Business Expansion,3.26,29000,60
603,31000,Education Fees,8.41,29000,72
744,100000,Wedding Expenses,5.43,91000,72
682,74000,Travel Costs,5.63,59000,72
615,27000,Education Fees,7.43,22000,72
813,63000,Debt Consolidation,3.25,56000,48
795,20000,Childcare Expenses,2.49,18000,48
710,60000,Emergency Business Funds,4.98,53000,12
630,71000,Working Capital,7.11,66000,36
804,64000,Inventory Purchase,2.7,59000,12
822,48000,Childcare Expenses,3.11,44000,72
688,21000,Equipment Purchase,6.74,19000,12
731,90000,Education Fees,4.39,73000,48
653,57000,Inventory Purchase,6.48,53000,24
828,44000,Community Projects,2.69,43000,24
666,29000,Technology Upgrade,6.91,23000,36
732,9000,Equipment Purchase,5.38,7000,24
636,69000,Inventory Purchase,8.59,64000,36
845,42000,Social Enterprise,3.69,38000,12
619,38000,Community Projects,8.44,34000,24
668,23000,Equipment Purchase,6.85,21000,24
849,10000,Travel Costs,2.7,8000,60
628,16000,Agriculture Expenses,8.33,13000,72
824,87000,Green Initiatives,3.95,79000,36
772,46000,Community Projects,3.51,44000,24
788,69000,Home Renovation,3.79,65000,72
755,25000,Wedding Expenses,2.5,22000,48
848,50000,Marketing and Advertising,2.51,44000,12
622,87000,Healthcare Expenses,8.2,73000,72
663,58000,Startup Capital,6.27,52000,36
751,75000,Marketing and Advertising,3.87,73000,36
602,66000,Equipment Purchase,8.6,65000,24
641,82000,Training and Development,7.44,73000,36
836,92000,Inventory Purchase,3.84,83000,24
768,70000,Training and Development,3.12,66000,24
738,93000,Working Capital,4.94,86000,36
811,52000,Emergency Business Funds,3.76,42000,36
615,14000,Green Initiatives,8.16,11000,12
676,93000,Healthcare Expenses,6.03,87000,48
787,68000,Green Initiatives,3.37,66000,12
601,23000,Inventory Purchase,7.59,20000,36
795,40000,Marketing and Advertising,3.65,36000,36
760,18000,Wedding Expenses,3.1,17000,48
754,36000,Startup Capital,2.55,33000,12
649,42000,Technology Upgrade,7.59,36000,12
615,35000,Emergency Business Funds,7.29,28000,24
743,52000,Working Capital,4.27,49000,36
602,73000,Green Initiatives,7.81,66000,24
825,85000,Debt Consolidation,3.13,69000,72
684,77000,Social Enterprise,5.49,64000,36
717,63000,Green Initiatives,5.17,58000,36
667,63000,Vehicle for Business Use,5.89,54000,48
838,44000,Debt Consolidation,3.14,41000,48
779,84000,Equipment Purchase,2.51,68000,36
603,93000,Childcare Expenses,8.13,92000,48
807,63000,Training and Development,3.49,61000,36
844,48000,Healthcare Expenses,2.51,38000,60
615,35000,Childcare Expenses,8.79,29000,48
730,8000,Marketing and Advertising,5.39,6000,12
809,12000,Equipment Purchase,2.66,9000,36
790,68000,Debt Consolidation,3.78,61000,72
624,55000,Childcare Expenses,8.7,44000,60
659,71000,Equipment Purchase,6.5,65000,24
712,42000,Debt Consolidation,4.31,38000,48
778,78000,Childcare Expenses,3.78,76000,48
686,58000,Debt Consolidation,6.32,53000,48
818,80000,Healthcare Expenses,3.53,66000,60
644,73000,Emergency Business Funds,8.67,68000,12
785,55000,Business Expansion,3.72,54000,48
710,24000,Equipment Purchase,4.76,22000,36
777,41000,Equipment Purchase,3.74,33000,24
607,28000,Vehicle for Business Use,7.13,24000,72
610,64000,Community Projects,7.5,59000,36
808,31000,Marketing and Advertising,3.73,28000,36
714,29000,Vehicle for Business Use,5.34,24000,60
770,45000,Business Expansion,3.65,38000,48
620,95000,Business Expansion,7.1,81000,48
627,47000,Childcare Expenses,7.62,40000,48
750,85000,Healthcare Expenses,2.95,68000,72
779,66000,Training and Development,2.66,60000,24
702,12000,Travel Costs,5.41,10000,48
810,92000,Home Renovation,3.7,79000,48
