CreditScore,AppliedLoanAmount,Purpose,ProposedInterestRate,ProposedLoanAmount,ProposedLoanTerm
755,45000,Healthcare Expenses,2.61,37000,60
844,92000,Home Renovation,2.48,85000,72
671,80000,Emergency Business Funds,5.71,65000,24
635,64000,Healthcare Expenses,7.65,61000,72
844,97000,Healthcare Expenses,3.84,88000,60
612,41000,Social Enterprise,7.42,36000,24
764,85000,Debt Consolidation,3.83,81000,72
754,14000,Equipment Purchase,3.55,12000,12
715,47000,Childcare Expenses,4.65,44000,72
780,16000,Emergency Business Funds,3.83,14000,24
641,87000,Agriculture Expenses,7.89,84000,60
666,91000,Emergency Business Funds,5.61,74000,12
707,80000,Travel Costs,4.75,77000,48
691,23000,Childcare Expenses,5.51,18000,72
677,24000,Startup Capital,6.84,21000,24
678,76000,Childcare Expenses,6.75,62000,48
676,54000,Emergency Business Funds,6.86,53000,12
834,92000,Social Enterprise,2.73,90000,36
821,56000,Marketing and Advertising,3.87,51000,12
769,32000,Working Capital,2.76,29000,24
753,80000,Agriculture Expenses,2.58,75000,48
829,63000,Education Fees,2.61,53000,60
783,8000,Community Projects,3.59,7000,36
649,35000,Healthcare Expenses,8.11,30000,72
754,95000,Technology Upgrade,3.93,91000,12
829,9000,Training and Development,3.25,7000,24
748,65000,Wedding Expenses,4.92,53000,48
818,27000,Childcare Expenses,3.75,26000,60
811,48000,Agriculture Expenses,2.96,39000,72
748,73000,Business Expansion,4.88,60000,48
613,15000,Social Enterprise,8.23,13000,36
808,51000,Technology Upgrade,2.59,44000,36
790,21000,Technology Upgrade,2.54,17000,36
775,29000,Utility Payments,3.24,27000,24
769,65000,Utility Payments,3.25,62000,12
642,97000,Childcare Expenses,8.35,87000,48
845,5000,Business Expansion,2.87,4000,60
821,34000,Travel Costs,3.04,32000,72
774,67000,Home Renovation,2.88,61000,72
818,74000,Wedding Expenses,3.21,64000,60
678,23000,Community Projects,6.95,18000,24
800,91000,Marketing and Advertising,3.11,76000,36
603,96000,Business Expansion,7.1,91000,72
795,60000,Startup Capital,2.93,48000,36
821,43000,Equipment Purchase,3.13,39000,12
749,39000,Education Fees,5.17,35000,60
645,17000,Education Fees,8.48,13000,60
805,92000,Inventory Purchase,3.25,88000,24
722,77000,Agriculture Expenses,4.46,64000,60
826,85000,Utility Payments,3.11,82000,36
647,70000,Equipment Purchase,7.46,66000,36
803,10000,Community Projects,2.54,9000,36
647,14000,Marketing and Advertising,7.62,11000,24
757,16000,Utility Payments,3.05,14000,36
642,47000,Home Renovation,8.32,41000,72
629,41000,Training and Development,8.62,34000,36
675,63000,Vehicle for Business Use,5.91,53000,60
797,22000,Equipment Purchase,3.89,20000,36
726,24000,Education Fees,4.55,23000,60
622,39000,Technology Upgrade,7.6,34000,12
772,56000,Training and Development,3.1,48000,12
814,64000,Technology Upgrade,3.81,63000,24
649,25000,Agriculture Expenses,8.02,23000,60
649,96000,Wedding Expenses,7.01,87000,60
788,58000,Marketing and Advertising,3.23,52000,24
741,56000,Equipment Purchase,4.1,50000,24
811,48000,Travel Costs,3.56,40000,60
811,34000,Wedding Expenses,3.8,29000,72
822,57000,Healthcare Expenses,3.13,47000,72
644,20000,Social Enterprise,8.27,16000,24
635,66000,Travel Costs,7.43,63000,60
607,37000,Startup Capital,8.04,30000,24
736,100000,Technology Upgrade,5.37,80000,12
705,92000,Childcare Expenses,4.99,78000,72
639,67000,Home Renovation,8.09,55000,72
836,86000,Emergency Personal Funds,2.81,78000,48
633,87000,Startup Capital,8.68,79000,24
677,14000,Working Capital,6.23,11000,36
683,36000,Emergency Personal Funds,6.03,31000,60
706,53000,Childcare Expenses,4.19,45000,60
736,37000,Agriculture Expenses,4.68,33000,48
818,75000,Debt Consolidation,2.95,65000,60
677,35000,Travel Costs,6.3,29000,72
802,89000,Inventory Purchase,3.47,74000,24
628,13000,Working Capital,8.78,11000,24
763,28000,Utility Payments,3.86,25000,12
822,88000,Business Expansion,3.95,82000,72
621,80000,Social Enterprise,7.48,78000,36
699,75000,Home Renovation,6.58,65000,48
674,12000,Vehicle for Business Use,6.79,11000,60
702,53000,Community Projects,5.2,49000,36
705,18000,Healthcare Expenses,4.13,17000,72
823,78000,Inventory Purchase,3.01,76000,12
779,32000,Childcare Expenses,2.64,30000,48
645,19000,Utility Payments,7.83,15000,24
608,11000,Startup Capital,7.56,9000,36
707,23000,Working Capital,4.85,18000,12
661,93000,Marketing and Advertising,6.41,86000,36
833,95000,Equipment Purchase,3.07,92000,36
778,93000,Community Projects,2.98,90000,36
849,27000,Home Renovation,2.62,26000,60
621,88000,Inventory Purchase,8.01,80000,36
732,5000,Agriculture Expenses,5.23,4000,60
646,37000,Startup Capital,8.37,34000,36
727,52000,Childcare Expenses,4.24,44000,48
624,56000,Emergency Personal Funds,7.49,53000,48
834,19000,Technology Upgrade,3.48,16000,36
606,40000,Emergency Business Funds,7.32,35000,24
820,21000,Travel Costs,2.76,19000,48
755,58000,Marketing and Advertising,2.56,50000,12
722,46000,Agriculture Expenses,4.34,36000,60
654,7000,Startup Capital,5.94,5000,36
678,67000,Agriculture Expenses,6.43,56000,48
672,82000,Home Renovation,6.24,76000,60
792,73000,Home Renovation,2.83,63000,48
752,58000,Wedding Expenses,3.21,47000,48
714,82000,Wedding Expenses,5.25,73000,72
657,43000,Healthcare Expenses,6.11,41000,72
604,5000,Social Enterprise,8.92,4000,24
768,89000,Home Renovation,2.8,74000,48
680,42000,Green Initiatives,6.68,38000,12
608,7000,Agriculture Expenses,8.04,5000,48
735,30000,Agriculture Expenses,4.14,25000,72
621,97000,Green Initiatives,7.9,89000,12
739,13000,Education Fees,4.92,10000,60
666,68000,Marketing and Advertising,6.89,60000,36
654,35000,Equipment Purchase,6.59,33000,12
721,21000,Technology Upgrade,5.02,18000,12
689,18000,Inventory Purchase,6.06,17000,12
604,15000,Utility Payments,8.83,13000,36
655,7000,Vehicle for Business Use,6.86,5000,60
612,93000,Emergency Personal Funds,8.8,85000,48
850,5000,Childcare Expenses,3.88,4000,48
741,30000,Startup Capital,5.43,29000,24
806,27000,Business Expansion,3.7,22000,72
605,47000,Community Projects,7.81,45000,36
756,44000,Travel Costs,2.69,39000,48
708,57000,Wedding Expenses,4.26,47000,48
669,54000,Emergency Business Funds,6.63,44000,36
764,76000,Vehicle for Business Use,3.64,62000,48
837,75000,Childcare Expenses,2.8,72000,48
698,34000,Emergency Business Funds,6.07,32000,24
756,91000,Working Capital,3.92,81000,12
841,60000,Business Expansion,2.94,58000,72
673,71000,Home Renovation,5.81,62000,48
783,37000,Startup Capital,3.68,36000,12
841,36000,Startup Capital,3.14,34000,24
725,38000,Emergency Personal Funds,4.48,36000,60
848,6000,Training and Development,3.72,5000,36
841,43000,Equipment Purchase,3.29,42000,36
836,57000,Education Fees,3.03,46000,72
704,59000,Business Expansion,4.58,52000,60
775,93000,Agriculture Expenses,3.23,76000,60
718,33000,Vehicle for Business Use,5.19,27000,72
734,14000,Startup Capital,4.2,11000,12
788,96000,Working Capital,3.95,91000,36
758,16000,Debt Consolidation,2.76,15000,72
850,71000,Social Enterprise,3.16,60000,12
774,28000,Vehicle for Business Use,3.23,27000,72
803,50000,Training and Development,3.61,46000,12
648,5000,Vehicle for Business Use,8.64,4000,72
824,86000,Debt Consolidation,3.5,72000,72
612,14000,Utility Payments,8.34,12000,12
806,99000,Travel Costs,3.0,85000,48
668,76000,Travel Costs,6.74,62000,48
711,44000,Inventory Purchase,4.11,37000,12
827,88000,Working Capital,3.74,78000,12
660,86000,Healthcare Expenses,5.63,72000,48
794,25000,Technology Upgrade,3.38,21000,36
777,72000,Education Fees,3.34,67000,72
798,96000,Inventory Purchase,3.84,90000,24
688,69000,Childcare Expenses,5.99,58000,60
652,63000,Home Renovation,5.63,62000,60
748,54000,Green Initiatives,4.36,52000,12
826,85000,Education Fees,3.33,80000,48
842,19000,Wedding Expenses,3.69,16000,72
752,39000,Vehicle for Business Use,3.92,32000,72
739,82000,Green Initiatives,4.61,79000,12
833,27000,Vehicle for Business Use,3.53,21000,72
768,71000,Technology Upgrade,3.27,58000,36
700,22000,Utility Payments,5.06,18000,24
679,62000,Travel Costs,6.75,59000,60
643,59000,Education Fees,8.44,53000,60
663,51000,Wedding Expenses,5.97,50000,72
742,47000,Equipment Purchase,5.19,44000,36
757,45000,Education Fees,2.67,38000,72
796,99000,Healthcare Expenses,3.68,97000,72
705,36000,Utility Payments,5.16,31000,12
737,46000,Training and Development,4.18,37000,12
668,54000,Community Projects,5.8,50000,24
847,74000,Utility Payments,3.84,70000,12
839,80000,Wedding Expenses,3.06,72000,60
687,48000,Vehicle for Business Use,5.51,38000,72
840,68000,Equipment Purchase,3.49,57000,24
825,37000,Agriculture Expenses,2.87,36000,72
759,31000,Community Projects,3.19,25000,36
805,98000,Home Renovation,2.65,92000,48
714,65000,Travel Costs,5.26,60000,72
686,67000,Working Capital,6.23,54000,36
705,21000,Community Projects,5.04,20000,12
629,12000,Education Fees,8.69,11000,72
713,17000,Childcare Expenses,4.19,15000,72
797,35000,Startup Capital,3.4,28000,36
668,59000,Community Projects,5.88,48000,36
640,97000,Marketing and Advertising,8.6,82000,36
781,75000,Childcare Expenses,3.45,66000,60
637,51000,Startup Capital,8.57,45000,24
755,24000,Emergency Business Funds,3.86,21000,36
735,31000,Wedding Expenses,4.38,24000,60
677,16000,Agriculture Expenses,5.99,14000,48
640,58000,Utility Payments,8.84,46000,24
834,25000,Travel Costs,2.65,23000,48
650,9000,Training and Development,6.93,8000,12
786,95000,Vehicle for Business Use,3.8,93000,60
808,79000,Debt Consolidation,3.05,78000,72
627,7000,Childcare Expenses,8.22,5000,72
639,27000,Wedding Expenses,7.74,24000,60
606,58000,Home Renovation,7.64,51000,48
813,93000,Emergency Business Funds,2.79,79000,36
784,92000,Training and Development,3.32,84000,24
767,13000,Business Expansion,3.07,11000,48
703,60000,Social Enterprise,4.1,55000,24
720,42000,Home Renovation,4.11,37000,48
674,45000,Utility Payments,6.13,38000,24
696,14000,Home Renovation,6.28,12000,48
653,52000,Green Initiatives,6.58,46000,24
681,72000,Emergency Business Funds,6.81,61000,12
786,45000,Home Renovation,2.64,41000,48
614,56000,Business Expansion,8.57,45000,48
842,78000,Green Initiatives,3.13,71000,24
664,48000,Training and Development,6.75,41000,12
693,68000,Social Enterprise,6.65,65000,12
691,90000,Green Initiatives,5.71,88000,24
820,74000,Education Fees,3.55,63000,60
772,11000,Technology Upgrade,2.46,10000,36
714,70000,Education Fees,4.33,62000,60
747,21000,Education Fees,5.44,19000,60
840,83000,Technology Upgrade,3.84,67000,12
835,46000,Healthcare Expenses,3.56,44000,60
843,45000,Wedding Expenses,2.92,42000,72
781,12000,Agriculture Expenses,3.07,11000,72
802,54000,Home Renovation,3.82,49000,72
769,35000,Technology Upgrade,3.73,29000,24
639,16000,Travel Costs,8.5,14000,48
765,30000,Equipment Purchase,3.7,27000,36
630,8000,Debt Consolidation,7.21,7000,48
783,39000,Debt Consolidation,3.41,37000,72
658,19000,Home Renovation,5.46,17000,72
727,17000,Home Renovation,5.17,16000,60
804,66000,Marketing and Advertising,3.28,53000,36
745,95000,Education Fees,5.2,88000,48
638,32000,Travel Costs,8.63,28000,72
707,11000,Inventory Purchase,4.52,9000,12
691,86000,Education Fees,5.53,83000,60
625,42000,Technology Upgrade,8.84,35000,36
637,27000,Community Projects,8.27,22000,12
750,26000,Home Renovation,3.8,25000,48
764,18000,Childcare Expenses,3.77,15000,48
791,21000,Healthcare Expenses,2.75,18000,48
703,87000,Vehicle for Business Use,4.65,81000,72
737,6000,Working Capital,4.06,5000,12
715,72000,Vehicle for Business Use,4.6,67000,60
721,77000,Social Enterprise,4.24,76000,36
736,80000,Emergency Personal Funds,4.08,64000,48
835,13000,Utility Payments,3.52,12000,24
619,87000,Technology Upgrade,8.22,83000,24
838,90000,Social Enterprise,3.64,77000,12
764,41000,Marketing and Advertising,2.97,34000,36
778,22000,Healthcare Expenses,3.82,17000,72
767,29000,Social Enterprise,3.81,24000,24
784,16000,Childcare Expenses,3.66,15000,60
670,57000,Business Expansion,6.56,49000,60
611,55000,Home Renovation,7.51,48000,60
773,10000,Equipment Purchase,3.72,8000,12
751,12000,Agriculture Expenses,2.56,11000,60
847,79000,Social Enterprise,3.83,74000,12
602,56000,Home Renovation,8.49,49000,60
756,42000,Wedding Expenses,3.28,34000,48
701,46000,Agriculture Expenses,5.33,44000,60
691,49000,Equipment Purchase,5.66,47000,12
808,44000,Travel Costs,2.64,39000,48
605,30000,Green Initiatives,7.39,26000,24
738,72000,Emergency Business Funds,4.98,70000,24
714,93000,Green Initiatives,4.59,87000,36
676,35000,Technology Upgrade,6.5,29000,24
661,66000,Wedding Expenses,6.62,62000,72
746,79000,Debt Consolidation,5.24,66000,48
685,55000,Childcare Expenses,5.96,50000,72
822,67000,Vehicle for Business Use,3.43,62000,72
715,21000,Education Fees,4.41,17000,48
688,14000,Technology Upgrade,6.16,13000,36
745,71000,Emergency Personal Funds,5.21,59000,48
630,46000,Debt Consolidation,7.55,43000,60
835,9000,Training and Development,2.72,7000,24
770,41000,Technology Upgrade,2.83,36000,12
694,26000,Business Expansion,5.86,21000,48
710,72000,Education Fees,4.42,58000,48
700,73000,Education Fees,5.14,65000,60
683,92000,Vehicle for Business Use,6.81,87000,72
770,92000,Community Projects,2.95,87000,12
605,47000,Social Enterprise,8.19,46000,24
694,54000,Agriculture Expenses,5.77,43000,48
684,58000,Utility Payments,5.97,56000,12
841,85000,Vehicle for Business Use,3.33,81000,72
754,23000,Childcare Expenses,3.31,18000,60
807,77000,Inventory Purchase,2.85,76000,12
721,97000,Social Enterprise,5.25,95000,12
662,42000,Wedding Expenses,5.7,33000,60
815,7000,Marketing and Advertising,3.66,6000,36
793,23000,Technology Upgrade,3.06,19000,12
633,64000,Utility Payments,7.22,51000,12
643,93000,Technology Upgrade,8.41,84000,24
656,65000,Business Expansion,5.69,53000,48
768,100000,Travel Costs,2.76,85000,48
776,84000,Wedding Expenses,3.46,82000,48
715,94000,Vehicle for Business Use,4.76,89000,60
734,95000,Debt Consolidation,4.45,87000,72
633,85000,Utility Payments,7.6,76000,12
723,46000,Emergency Personal Funds,4.36,41000,60
824,32000,Business Expansion,3.8,26000,60
699,17000,Green Initiatives,6.53,13000,12
723,60000,Equipment Purchase,5.08,49000,12
836,94000,Emergency Personal Funds,3.37,81000,72
704,11000,Emergency Personal Funds,4.7,10000,60
725,28000,Vehicle for Business Use,4.63,26000,60
601,27000,Green Initiatives,8.81,26000,12
673,21000,Startup Capital,5.69,17000,36
688,48000,Home Renovation,5.66,41000,72
611,49000,Business Expansion,7.99,46000,72
621,41000,Emergency Personal Funds,8.37,37000,60
698,31000,Community Projects,6.83,29000,24
683,40000,Equipment Purchase,6.4,36000,24
690,88000,Working Capital,6.24,73000,24
663,64000,Childcare Expenses,5.57,57000,48
728,58000,Startup Capital,5.12,55000,36
762,77000,Emergency Personal Funds,3.77,76000,60
662,94000,Travel Costs,5.72,85000,60
775,42000,Inventory Purchase,3.16,35000,12
837,70000,Marketing and Advertising,2.76,58000,12
741,57000,Debt Consolidation,4.35,55000,48
661,96000,Training and Development,6.11,82000,24
653,72000,Inventory Purchase,6.02,60000,12
721,93000,Startup Capital,4.93,85000,24
811,15000,Home Renovation,3.73,12000,48
837,75000,Vehicle for Business Use,3.94,74000,48
733,89000,Agriculture Expenses,5.4,82000,72
724,75000,Emergency Business Funds,4.29,63000,24
602,13000,Inventory Purchase,7.26,11000,36
790,57000,Education Fees,2.78,49000,48
628,77000,Emergency Personal Funds,8.95,71000,48
762,36000,Vehicle for Business Use,3.93,33000,48
812,30000,Inventory Purchase,3.02,25000,24
716,9000,Business Expansion,4.32,8000,72
610,74000,Business Expansion,8.81,68000,60
756,17000,Emergency Business Funds,3.5,16000,36
647,17000,Debt Consolidation,8.32,13000,72
651,98000,Education Fees,5.98,83000,48
620,63000,Training and Development,8.87,53000,12
690,25000,Vehicle for Business Use,6.53,22000,60
627,60000,Wedding Expenses,8.62,50000,60
834,40000,Emergency Personal Funds,3.29,36000,60
835,98000,Inventory Purchase,2.68,80000,36
785,63000,Marketing and Advertising,3.08,59000,24
742,86000,Social Enterprise,5.08,80000,24
790,53000,Wedding Expenses,3.38,43000,60
849,12000,Marketing and Advertising,3.15,10000,24
708,83000,Equipment Purchase,5.22,81000,24
695,15000,Childcare Expenses,6.11,13000,72
655,25000,Wedding Expenses,6.86,21000,48
841,96000,Inventory Purchase,3.62,87000,24
833,47000,Emergency Business Funds,3.64,41000,12
657,26000,Wedding Expenses,6.76,25000,48
707,23000,Agriculture Expenses,4.76,18000,60
639,75000,Emergency Personal Funds,7.51,72000,60
668,95000,Equipment Purchase,5.79,78000,36
742,22000,Healthcare Expenses,4.14,21000,72
844,49000,Equipment Purchase,3.03,42000,36
722,17000,Social Enterprise,4.92,16000,36
714,9000,Utility Payments,4.22,7000,36
685,46000,Training and Development,5.6,44000,12
781,97000,Inventory Purchase,2.71,78000,24
623,59000,Inventory Purchase,7.55,50000,36
633,8000,Travel Costs,8.12,7000,72
731,6000,Childcare Expenses,4.76,5000,60
750,90000,Training and Development,3.41,74000,12
650,99000,Utility Payments,5.74,97000,36
643,68000,Home Renovation,7.61,65000,60
844,85000,Community Projects,3.8,74000,36
610,83000,Inventory Purchase,8.76,74000,36
716,35000,Debt Consolidation,4.58,32000,60
714,23000,Education Fees,4.92,21000,48
677,35000,Equipment Purchase,6.41,33000,36
785,44000,Travel Costs,3.78,41000,48
702,7000,Working Capital,4.31,6000,12
680,13000,Childcare Expenses,6.16,11000,60
600,74000,Working Capital,7.08,63000,36
632,14000,Debt Consolidation,8.28,12000,72
632,40000,Business Expansion,8.31,35000,60
615,51000,Emergency Business Funds,7.04,50000,36
690,75000,Travel Costs,6.17,72000,60
836,26000,Vehicle for Business Use,3.34,23000,72
807,51000,Education Fees,3.87,47000,60
796,74000,Healthcare Expenses,2.47,73000,60
697,81000,Vehicle for Business Use,6.48,76000,60
758,46000,Wedding Expenses,3.15,45000,48
823,89000,Working Capital,3.56,79000,12
693,60000,Marketing and Advertising,6.26,52000,12
711,54000,Debt Consolidation,4.1,46000,60
678,74000,Travel Costs,6.73,63000,60
757,73000,Emergency Personal Funds,2.51,62000,60
609,78000,Business Expansion,8.64,63000,72
850,58000,Social Enterprise,3.38,57000,12
760,27000,Training and Development,3.03,21000,36
846,27000,Social Enterprise,3.38,26000,24
807,59000,Emergency Personal Funds,2.68,52000,60
820,94000,Utility Payments,3.55,86000,12
780,13000,Working Capital,2.72,10000,12
808,44000,Agriculture Expenses,3.43,40000,60
635,13000,Marketing and Advertising,8.61,12000,36
799,86000,Healthcare Expenses,2.84,82000,48
627,98000,Debt Consolidation,8.02,84000,48
651,26000,Technology Upgrade,5.92,21000,12
641,41000,Travel Costs,8.7,34000,60
687,29000,Working Capital,5.97,27000,12
823,70000,Emergency Business Funds,3.52,57000,36
615,19000,Social Enterprise,7.54,17000,24
788,75000,Agriculture Expenses,2.77,60000,48
692,51000,Equipment Purchase,6.81,44000,36
605,7000,Startup Capital,6.97,5000,24
687,94000,Inventory Purchase,6.51,92000,24
798,31000,Community Projects,3.5,29000,36
823,36000,Social Enterprise,2.8,31000,24
772,35000,Education Fees,3.05,34000,72
814,70000,Emergency Business Funds,3.14,63000,36
609,48000,Childcare Expenses,8.1,42000,48
832,40000,Emergency Business Funds,3.2,39000,24
744,39000,Home Renovation,4.91,34000,72
672,88000,Childcare Expenses,6.79,74000,48
764,72000,Debt Consolidation,2.8,60000,72
795,33000,Startup Capital,3.12,32000,12
793,38000,Education Fees,3.38,35000,72
690,18000,Travel Costs,6.44,17000,72
648,52000,Marketing and Advertising,7.8,44000,24
788,37000,Utility Payments,2.61,34000,24
600,99000,Marketing and Advertising,7.97,85000,24
688,71000,Childcare Expenses,6.37,69000,48
839,91000,Debt Consolidation,3.03,90000,72
763,70000,Emergency Business Funds,2.66,62000,12
786,59000,Working Capital,3.9,58000,36
742,6000,Childcare Expenses,5.11,5000,72
772,56000,Technology Upgrade,2.93,47000,12
676,30000,Equipment Purchase,6.71,24000,12
838,35000,Agriculture Expenses,3.76,29000,48
656,44000,Debt Consolidation,6.21,42000,48
605,64000,Working Capital,8.07,61000,36
784,25000,Technology Upgrade,3.86,22000,36
725,33000,Education Fees,4.11,28000,72
819,59000,Training and Development,3.53,50000,12
710,58000,Working Capital,4.92,54000,36
834,64000,Startup Capital,2.95,63000,12
650,50000,Working Capital,5.55,48000,12
845,52000,Utility Payments,2.89,43000,36
740,70000,Wedding Expenses,4.83,60000,60
635,58000,Debt Consolidation,8.81,51000,60
771,96000,Home Renovation,3.31,90000,60
773,26000,Home Renovation,3.52,22000,48
797,21000,Healthcare Expenses,2.7,16000,72
635,52000,Emergency Personal Funds,7.04,47000,72
675,80000,Technology Upgrade,5.69,74000,36
819,32000,Childcare Expenses,3.43,29000,72
846,10000,Healthcare Expenses,3.24,8000,48
756,15000,Travel Costs,3.71,12000,48
810,85000,Green Initiatives,3.48,83000,36
766,66000,Business Expansion,3.58,65000,72
704,53000,Agriculture Expenses,4.34,49000,60
832,79000,Education Fees,2.51,65000,72
843,81000,Working Capital,3.77,69000,24
794,9000,Equipment Purchase,3.57,8000,12
788,94000,Education Fees,3.02,90000,48
821,59000,Agriculture Expenses,2.62,53000,72
823,28000,Debt Consolidation,2.56,23000,48
659,22000,Marketing and Advertising,6.45,21000,36
820,98000,Business Expansion,3.16,96000,60
662,87000,Social Enterprise,6.02,70000,24
821,16000,Startup Capital,2.83,15000,24
690,29000,Education Fees,5.48,27000,60
607,20000,Home Renovation,7.29,16000,60
735,59000,Agriculture Expenses,4.81,55000,48
760,27000,Travel Costs,3.63,22000,48
709,93000,Startup Capital,4.97,75000,24
804,91000,Utility Payments,2.9,74000,24
615,31000,Home Renovation,8.25,25000,48
704,83000,Agriculture Expenses,5.0,75000,48
844,16000,Marketing and Advertising,3.8,14000,12
702,21000,Emergency Personal Funds,4.04,18000,72
670,79000,Social Enterprise,6.85,78000,24
772,63000,Healthcare Expenses,3.89,53000,72
706,19000,Community Projects,4.18,18000,12
694,20000,Equipment Purchase,6.62,18000,24
778,45000,Equipment Purchase,3.58,43000,36
830,94000,Home Renovation,3.85,90000,60
776,74000,Education Fees,3.82,62000,60
655,22000,Technology Upgrade,6.86,20000,24
788,33000,Debt Consolidation,2.6,26000,72
617,81000,Social Enterprise,7.4,73000,12
792,89000,Community Projects,3.36,73000,36
725,16000,Debt Consolidation,4.54,14000,72
769,72000,Vehicle for Business Use,3.21,65000,48
835,57000,Technology Upgrade,3.44,49000,12
716,25000,Marketing and Advertising,5.16,22000,12
786,73000,Home Renovation,2.76,70000,72
631,12000,Marketing and Advertising,8.9,11000,24
634,64000,Utility Payments,8.2,61000,12
723,70000,Utility Payments,4.87,67000,36
840,21000,Home Renovation,2.72,20000,72
778,15000,Utility Payments,2.83,13000,36
788,48000,Marketing and Advertising,3.4,39000,36
700,97000,Childcare Expenses,5.3,79000,72
850,17000,Emergency Personal Funds,3.61,14000,72
617,24000,Home Renovation,8.06,22000,72
730,84000,Childcare Expenses,4.02,83000,60
670,92000,Working Capital,6.43,79000,24
801,49000,Healthcare Expenses,3.25,48000,72
841,5000,Startup Capital,3.18,4000,12
610,63000,Technology Upgrade,7.48,56000,24
806,51000,Working Capital,2.62,41000,12
677,46000,Childcare Expenses,5.95,41000,72
708,96000,Agriculture Expenses,5.26,94000,48
726,37000,Marketing and Advertising,4.26,35000,24
706,13000,Childcare Expenses,5.01,11000,72
712,39000,Education Fees,5.44,36000,60
767,36000,Working Capital,2.97,34000,36
653,53000,Inventory Purchase,6.88,46000,12
830,24000,Startup Capital,3.89,20000,36
712,11000,Healthcare Expenses,4.75,10000,60
706,77000,Travel Costs,5.18,71000,48
705,50000,Emergency Business Funds,4.28,49000,36
813,89000,Startup Capital,2.87,81000,36
625,14000,Equipment Purchase,8.74,11000,24
719,27000,Working Capital,4.9,23000,36
706,22000,Training and Development,5.33,18000,36
801,93000,Emergency Personal Funds,3.59,77000,72
681,62000,Marketing and Advertising,5.61,54000,12
677,87000,Technology Upgrade,6.39,75000,24
824,52000,Social Enterprise,2.7,45000,36
610,83000,Equipment Purchase,8.48,67000,36
665,6000,Vehicle for Business Use,6.32,5000,60
831,85000,Marketing and Advertising,3.58,75000,12
682,29000,Debt Consolidation,5.86,25000,72
637,75000,Marketing and Advertising,8.51,64000,12
608,43000,Community Projects,7.63,38000,36
821,59000,Vehicle for Business Use,3.56,52000,72
836,79000,Social Enterprise,2.78,72000,36
843,38000,Agriculture Expenses,3.5,35000,72
747,37000,Training and Development,5.24,36000,12
634,21000,Travel Costs,8.24,20000,48
653,65000,Working Capital,6.57,64000,24
827,65000,Utility Payments,3.74,59000,36
640,39000,Working Capital,8.5,36000,12
810,72000,Agriculture Expenses,2.78,67000,72
680,29000,Agriculture Expenses,6.13,26000,72
697,52000,Agriculture Expenses,6.78,46000,48
688,63000,Equipment Purchase,6.87,55000,24
684,12000,Inventory Purchase,5.68,10000,12
797,84000,Travel Costs,2.57,76000,72
686,12000,Vehicle for Business Use,6.19,11000,60
683,21000,Debt Consolidation,6.45,18000,48
768,86000,Inventory Purchase,3.78,77000,12
689,82000,Green Initiatives,6.21,73000,36
815,45000,Social Enterprise,3.2,41000,12
723,60000,Community Projects,4.61,55000,24
609,5000,Working Capital,7.69,4000,24
678,74000,Marketing and Advertising,6.13,61000,12
781,38000,Equipment Purchase,3.4,30000,12
810,99000,Green Initiatives,3.62,97000,24
645,31000,Education Fees,8.95,26000,60
738,34000,Travel Costs,4.99,31000,48
645,94000,Community Projects,8.33,84000,24
632,16000,Childcare Expenses,8.11,13000,72
832,39000,Debt Consolidation,2.66,36000,72
803,20000,Debt Consolidation,3.15,16000,72
654,96000,Technology Upgrade,5.87,93000,12
671,45000,Social Enterprise,6.29,39000,24
785,41000,Healthcare Expenses,2.99,38000,60
827,12000,Travel Costs,3.78,10000,48
691,64000,Working Capital,6.85,51000,24
745,6000,Debt Consolidation,4.37,5000,60
660,60000,Marketing and Advertising,5.63,55000,12
822,72000,Utility Payments,3.46,63000,24
631,26000,Emergency Business Funds,8.28,22000,12
679,96000,Healthcare Expenses,5.61,91000,72
629,61000,Vehicle for Business Use,7.09,58000,60
749,74000,Utility Payments,5.0,60000,36
813,76000,Working Capital,2.91,68000,36
785,62000,Agriculture Expenses,3.1,50000,72
656,59000,Emergency Personal Funds,5.77,57000,72
815,65000,Agriculture Expenses,2.66,61000,72
733,14000,Debt Consolidation,4.48,11000,72
847,45000,Wedding Expenses,3.71,41000,72
634,54000,Emergency Personal Funds,7.67,49000,60
612,62000,Community Projects,8.31,56000,12
726,19000,Working Capital,4.04,15000,24
623,87000,Community Projects,6.99,82000,12
797,48000,Wedding Expenses,3.71,45000,60
606,61000,Inventory Purchase,8.93,56000,24
686,47000,Travel Costs,6.58,38000,48
636,71000,Marketing and Advertising,7.67,61000,12
656,35000,Agriculture Expenses,6.56,30000,60
735,19000,Marketing and Advertising,5.38,17000,24
779,11000,Green Initiatives,3.26,8000,12
703,13000,Working Capital,4.54,11000,24
807,76000,Childcare Expenses,3.95,68000,60
754,91000,Emergency Business Funds,2.52,73000,36
739,7000,Training and Development,5.36,6000,24
685,53000,Agriculture Expenses,6.23,52000,72
671,51000,Community Projects,6.17,50000,24
686,74000,Community Projects,5.91,70000,24
741,100000,Debt Consolidation,4.77,85000,48
667,8000,Inventory Purchase,5.9,7000,24
840,60000,Travel Costs,3.72,51000,72
607,66000,Wedding Expenses,7.05,57000,60
659,49000,Education Fees,6.48,41000,60
781,53000,Debt Consolidation,3.22,44000,60
810,18000,Marketing and Advertising,2.58,15000,36
700,63000,Home Renovation,5.13,52000,48
