,loan_amnt,loan_intent,loan_int_rate,credit_score,loan_term
9947,14400,HOMEIMPROVEMENT,0.0,617,55
9948,5400,DEBTCONSOLIDATION,0.0,611,23
9949,10000,EDUCATION,0.0,594,101
9950,13600,EDUCATION,0.0,591,110
9951,9000,EDUCATION,0.0,650,94
9952,9000,PERSONAL,0.0,587,25
9953,1525,PERSONAL,0.0,532,15
9954,9000,VENTURE,0.0,672,51
9955,9000,DEBTCONSOLIDATION,0.0,653,30
9956,9000,VENTURE,0.0,598,49
9957,9000,DEBTCONSOLIDATION,0.0,607,51
9958,7000,DEBTCONSOLIDATION,0.0,683,40
9959,6000,PERSONAL,0.0,688,13
9960,9000,DEBTCONSOLIDATION,0.0,643,29
9961,4000,DEBTCONSOLIDATION,0.0,635,52
9962,10000,PERSONAL,0.0,670,48
9963,11500,HOMEIMPROVEMENT,0.0,657,38
9964,9000,HOMEIMPROVEMENT,15.05,549,36
9965,2000,HOMEIMPROVEMENT,0.0,631,50
9966,4900,HOMEIMPROVEMENT,15.62,631,60
9967,9000,EDUCATION,0.0,697,83
9968,20000,DEBTCONSOLIDATION,0.0,683,43
9969,9000,HOMEIMPROVEMENT,0.0,630,32
9970,5000,HOMEIMPROVEMENT,9.99,661,52
9971,5500,HOMEIMPROVEMENT,0.0,609,48
9972,9000,VENTURE,0.0,604,45
9973,10000,VENTURE,0.0,689,49
9974,10000,MEDICAL,0.0,669,47
9975,9000,HOMEIMPROVEMENT,0.0,612,29
9976,10800,PERSONAL,0.0,583,26
9977,9050,DEBTCONSOLIDATION,0.0,668,50
9978,9100,VENTURE,0.0,672,34
9979,9100,VENTURE,13.24,644,56
9980,9100,MEDICAL,0.0,652,34
9981,9100,DEBTCONSOLIDATION,0.0,642,22
9982,5000,PERSONAL,0.0,585,37
9983,9150,MEDICAL,0.0,593,23
9984,9000,EDUCATION,0.0,583,93
9985,9200,PERSONAL,9.88,644,30
9986,10000,HOMEIMPROVEMENT,0.0,641,39
9987,10000,VENTURE,0.0,681,51
9988,9200,DEBTCONSOLIDATION,7.49,613,57
9989,9200,DEBTCONSOLIDATION,6.62,564,50
9990,6000,VENTURE,0.0,699,45
9991,9200,MEDICAL,0.0,615,15
9992,9600,PERSONAL,0.0,582,18
9993,9200,EDUCATION,0.0,571,97
9994,9200,EDUCATION,0.0,463,115
9995,13750,VENTURE,0.0,704,35
9996,20000,EDUCATION,0.0,629,42
9997,7300,VENTURE,0.0,651,49
9998,9200,PERSONAL,0.0,590,40
9999,9200,MEDICAL,0.0,541,29
10000,9200,DEBTCONSOLIDATION,0.0,646,23
10001,3000,MEDICAL,0.0,681,16
10002,3600,HOMEIMPROVEMENT,12.98,625,41
10003,25000,MEDICAL,9.99,624,23
10004,9200,MEDICAL,0.0,683,24
10005,9225,EDUCATION,0.0,576,52
10006,12000,VENTURE,0.0,510,47
10007,9250,DEBTCONSOLIDATION,12.53,707,56
10008,12000,VENTURE,0.0,504,35
10009,9250,VENTURE,6.54,650,48
10010,9250,HOMEIMPROVEMENT,8.94,649,44
10011,9250,EDUCATION,8.59,682,52
10012,9250,VENTURE,10.75,671,27
10013,9250,MEDICAL,6.54,545,40
10014,5000,MEDICAL,0.0,677,35
10015,10000,EDUCATION,0.0,624,52
10016,2000,MEDICAL,0.0,659,36
10017,9000,EDUCATION,0.0,651,62
10018,9250,DEBTCONSOLIDATION,13.11,659,45
10019,8400,VENTURE,0.0,595,30
10020,3500,EDUCATION,0.0,724,70
10021,6250,VENTURE,0.0,588,43
10022,9250,MEDICAL,12.87,648,28
10023,10000,MEDICAL,0.0,674,17
10024,10000,MEDICAL,0.0,636,44
10025,7000,VENTURE,0.0,486,58
10026,15000,PERSONAL,0.0,587,33
10027,9250,VENTURE,14.35,574,56
10028,7000,DEBTCONSOLIDATION,0.0,645,51
10029,9250,DEBTCONSOLIDATION,13.57,611,28
10030,13000,DEBTCONSOLIDATION,0.0,609,16
10031,13000,PERSONAL,0.0,591,57
10032,9250,MEDICAL,14.11,559,18
10033,9250,MEDICAL,14.46,662,21
10034,9250,PERSONAL,0.0,655,23
10035,11000,PERSONAL,0.0,630,43
10036,9250,PERSONAL,0.0,555,50
10037,14400,VENTURE,0.0,654,26
10038,5500,EDUCATION,0.0,709,103
10039,9250,EDUCATION,0.0,609,54
10040,10950,HOMEIMPROVEMENT,0.0,647,27
10041,3800,MEDICAL,0.0,631,39
10042,22000,VENTURE,0.0,612,45
10043,9300,DEBTCONSOLIDATION,0.0,622,18
10044,9800,EDUCATION,11.49,583,89
10045,15000,MEDICAL,0.0,543,33
10046,8700,VENTURE,0.0,682,52
10047,10000,EDUCATION,0.0,624,58
10048,9325,MEDICAL,0.0,628,16
10049,7000,MEDICAL,0.0,616,48
10050,9350,EDUCATION,0.0,676,80
10051,8000,VENTURE,0.0,696,52
10052,9375,PERSONAL,11.71,541,32
10053,8100,DEBTCONSOLIDATION,0.0,655,29
10054,6000,VENTURE,0.0,625,48
10055,20000,EDUCATION,11.36,628,50
10056,20000,HOMEIMPROVEMENT,13.48,690,38
10057,2500,PERSONAL,0.0,673,53
10058,9400,EDUCATION,0.0,614,36
10059,9400,VENTURE,16.32,658,39
10060,6000,EDUCATION,0.0,638,105
10061,6000,PERSONAL,0.0,691,14
10062,3000,DEBTCONSOLIDATION,0.0,662,23
10063,9400,EDUCATION,0.0,676,113
10064,9425,MEDICAL,0.0,646,36
10065,4400,DEBTCONSOLIDATION,0.0,605,28
10066,9450,MEDICAL,6.62,647,15
10067,8000,PERSONAL,0.0,643,16
10068,9450,DEBTCONSOLIDATION,16.77,547,54
10069,8500,EDUCATION,0.0,593,41
10070,9450,PERSONAL,7.66,651,20
10071,14000,VENTURE,0.0,534,36
10072,9450,MEDICAL,15.62,534,18
10073,9500,VENTURE,7.88,584,38
10074,7000,MEDICAL,0.0,659,19
10075,3000,MEDICAL,0.0,643,32
10076,9500,VENTURE,8.9,622,51
10077,6000,EDUCATION,0.0,658,62
10078,7500,EDUCATION,0.0,652,118
10079,9500,DEBTCONSOLIDATION,19.04,658,26
10080,9500,DEBTCONSOLIDATION,15.33,656,38
10081,9500,MEDICAL,5.99,593,21
10082,9500,MEDICAL,8.94,504,34
10083,9500,VENTURE,13.92,680,60
10084,9500,PERSONAL,0.0,711,23
10085,20000,EDUCATION,0.0,655,116
10086,9500,MEDICAL,0.0,581,27
10087,10000,MEDICAL,0.0,578,34
10088,9500,VENTURE,11.01,685,36
10089,12000,MEDICAL,17.74,655,14
10090,12000,MEDICAL,11.01,529,34
10091,17000,VENTURE,0.0,531,38
10092,9500,EDUCATION,0.0,642,88
10093,9500,EDUCATION,0.0,667,99
10094,9500,MEDICAL,0.0,644,29
10095,9500,EDUCATION,0.0,660,49
10096,9500,HOMEIMPROVEMENT,14.74,640,28
10097,9500,PERSONAL,0.0,591,19
10098,15000,HOMEIMPROVEMENT,0.0,606,42
10099,5000,VENTURE,0.0,603,44
10100,15000,DEBTCONSOLIDATION,11.01,668,58
10101,9500,MEDICAL,0.0,632,20
10102,6800,DEBTCONSOLIDATION,12.53,620,17
10103,1500,VENTURE,0.0,504,55
10104,9500,MEDICAL,0.0,566,38
10105,9500,EDUCATION,0.0,561,80
10106,9250,MEDICAL,0.0,577,26
10107,9500,MEDICAL,0.0,605,26
10108,9500,EDUCATION,0.0,577,96
10109,9500,VENTURE,0.0,642,45
10110,15000,EDUCATION,0.0,674,83
10111,7500,PERSONAL,0.0,645,16
10112,9500,DEBTCONSOLIDATION,0.0,593,49
10113,19750,DEBTCONSOLIDATION,14.11,657,16
10114,9500,EDUCATION,0.0,677,49
10115,9500,HOMEIMPROVEMENT,0.0,574,34
10116,2000,DEBTCONSOLIDATION,0.0,608,33
10117,9000,EDUCATION,0.0,609,63
10118,9500,VENTURE,0.0,675,49
10119,9500,DEBTCONSOLIDATION,0.0,658,30
10120,5000,EDUCATION,0.0,666,85
10121,17600,VENTURE,0.0,685,38
10122,9500,MEDICAL,16.49,648,14
10123,9500,HOMEIMPROVEMENT,15.33,636,60
10124,6000,EDUCATION,0.0,689,88
10125,9550,PERSONAL,0.0,632,26
10126,7500,PERSONAL,0.0,641,13
10127,5125,EDUCATION,0.0,602,119
10128,7000,PERSONAL,0.0,642,22
10129,9575,DEBTCONSOLIDATION,0.0,579,15
10130,9600,EDUCATION,7.49,589,90
10131,9600,EDUCATION,13.16,671,89
10132,9600,PERSONAL,11.71,584,41
10133,9600,HOMEIMPROVEMENT,14.27,671,47
10134,9600,PERSONAL,9.99,645,19
10135,15000,EDUCATION,0.0,561,39
10136,4000,EDUCATION,0.0,658,87
10137,12800,PERSONAL,0.0,646,54
10138,5000,PERSONAL,0.0,636,27
10139,12500,VENTURE,0.0,563,38
10140,5500,MEDICAL,0.0,643,44
10141,3600,HOMEIMPROVEMENT,0.0,535,24
10142,9600,EDUCATION,10.37,673,67
10143,4000,VENTURE,0.0,624,43
10144,5000,DEBTCONSOLIDATION,0.0,635,60
10145,9600,VENTURE,0.0,645,39
10146,9600,MEDICAL,0.0,603,17
10147,4500,MEDICAL,0.0,626,37
10148,6500,EDUCATION,0.0,520,88
10149,6500,MEDICAL,0.0,649,21
10150,20000,HOMEIMPROVEMENT,0.0,547,58
10151,9600,MEDICAL,0.0,539,26
10152,9600,DEBTCONSOLIDATION,16.02,644,28
10153,9600,PERSONAL,19.16,626,48
10154,9600,VENTURE,0.0,702,32
10155,15000,PERSONAL,0.0,606,55
10156,9600,EDUCATION,0.0,644,106
10157,9600,VENTURE,0.0,592,33
10158,1500,MEDICAL,0.0,592,12
10159,9600,MEDICAL,14.91,584,43
10160,13000,EDUCATION,0.0,593,40
10161,9600,PERSONAL,0.0,643,12
10162,9600,DEBTCONSOLIDATION,16.77,674,49
10163,7000,VENTURE,0.0,672,52
10164,9600,DEBTCONSOLIDATION,0.0,605,52
10165,5000,HOMEIMPROVEMENT,0.0,659,34
10166,9600,PERSONAL,13.48,603,38
10167,5000,MEDICAL,0.0,676,48
10168,9600,VENTURE,0.0,701,56
10169,9600,VENTURE,0.0,603,54
10170,9600,PERSONAL,14.54,685,30
10171,9000,MEDICAL,0.0,594,48
10172,18000,VENTURE,0.0,695,56
10173,9600,MEDICAL,0.0,587,24
10174,4000,DEBTCONSOLIDATION,0.0,624,14
10175,3000,MEDICAL,0.0,677,28
10176,16075,VENTURE,0.0,614,54
10177,18000,MEDICAL,0.0,621,18
10178,6500,EDUCATION,0.0,583,38
10179,20000,VENTURE,0.0,582,41
10180,9600,EDUCATION,17.27,579,56
10181,8000,EDUCATION,0.0,643,47
10182,8400,DEBTCONSOLIDATION,0.0,639,48
10183,13250,VENTURE,0.0,618,60
10184,9600,EDUCATION,0.0,566,95
10185,16800,PERSONAL,0.0,670,19
10186,9600,HOMEIMPROVEMENT,5.99,634,50
10187,9600,PERSONAL,16.77,554,59
10188,9600,EDUCATION,0.0,532,68
10189,5000,EDUCATION,0.0,702,106
10190,3600,EDUCATION,0.0,654,67
10191,9600,EDUCATION,0.0,597,40
10192,9600,MEDICAL,0.0,640,46
10193,6000,EDUCATION,16.45,699,38
10194,21000,VENTURE,16.45,678,24
10195,10000,VENTURE,0.0,650,54
10196,10000,MEDICAL,0.0,679,45
10197,2000,EDUCATION,0.0,535,87
10198,9600,DEBTCONSOLIDATION,0.0,626,36
10199,8800,EDUCATION,0.0,653,100
10200,16800,MEDICAL,0.0,721,35
10201,9600,EDUCATION,0.0,655,105
10202,9600,HOMEIMPROVEMENT,0.0,702,45
10203,1275,DEBTCONSOLIDATION,10.99,641,49
10204,9600,EDUCATION,0.0,609,89
10205,9600,HOMEIMPROVEMENT,0.0,656,39
10206,9600,MEDICAL,0.0,563,44
10207,15000,PERSONAL,0.0,646,33
10208,9600,DEBTCONSOLIDATION,15.31,618,34
10209,18000,HOMEIMPROVEMENT,0.0,596,36
10210,5000,MEDICAL,7.9,683,12
10211,9600,VENTURE,0.0,713,54
10212,9600,PERSONAL,0.0,662,45
10213,9600,VENTURE,0.0,639,49
10214,15000,VENTURE,0.0,607,43
10215,6000,EDUCATION,0.0,651,91
10216,9600,PERSONAL,0.0,662,40
10217,6000,EDUCATION,0.0,609,88
10218,5000,EDUCATION,0.0,523,51
10219,7500,DEBTCONSOLIDATION,0.0,636,42
10220,8000,HOMEIMPROVEMENT,14.27,662,59
10221,6000,VENTURE,0.0,637,56
10222,9600,EDUCATION,7.51,584,100
10223,9600,MEDICAL,0.0,682,43
10224,9600,VENTURE,0.0,630,46
10225,9600,VENTURE,0.0,685,47
10226,9600,DEBTCONSOLIDATION,11.01,580,23
10227,3000,VENTURE,0.0,628,53
10228,14000,EDUCATION,7.49,708,60
10229,15000,PERSONAL,0.0,641,38
10230,15000,VENTURE,0.0,605,26
10231,9600,EDUCATION,0.0,465,40
10232,9600,EDUCATION,0.0,683,73
10233,9600,PERSONAL,0.0,674,54
10234,9600,DEBTCONSOLIDATION,0.0,635,18
10235,4000,PERSONAL,0.0,724,51
10236,8750,EDUCATION,0.0,564,104
10237,9600,PERSONAL,20.0,652,53
10238,9600,HOMEIMPROVEMENT,15.62,697,56
10239,6600,MEDICAL,0.0,629,23
10240,10000,DEBTCONSOLIDATION,0.0,569,14
10241,10000,PERSONAL,0.0,602,28
10242,15500,DEBTCONSOLIDATION,0.0,659,32
10243,11200,VENTURE,0.0,639,44
10244,4500,EDUCATION,0.0,627,38
10245,9600,EDUCATION,0.0,654,85
10246,2700,VENTURE,0.0,531,28
10247,12000,PERSONAL,0.0,694,57
10248,9600,PERSONAL,0.0,612,20
10249,9600,EDUCATION,7.49,603,50
10250,10000,PERSONAL,0.0,663,25
10251,9600,MEDICAL,0.0,623,44
10252,7000,DEBTCONSOLIDATION,0.0,624,14
10253,9600,DEBTCONSOLIDATION,0.0,651,54
10254,9600,PERSONAL,0.0,696,39
10255,18000,MEDICAL,0.0,613,26
10256,9600,DEBTCONSOLIDATION,0.0,668,50
10257,15000,MEDICAL,0.0,673,35
10258,9600,EDUCATION,0.0,692,79
10259,2400,VENTURE,0.0,705,40
10260,9600,EDUCATION,11.97,648,88
10261,2700,DEBTCONSOLIDATION,0.0,669,43
10262,9600,MEDICAL,0.0,614,32
10263,15000,HOMEIMPROVEMENT,0.0,607,56
10264,8500,DEBTCONSOLIDATION,0.0,607,20
10265,6000,VENTURE,0.0,661,48
10266,3000,VENTURE,0.0,587,37
10267,7800,PERSONAL,0.0,528,34
10268,9600,HOMEIMPROVEMENT,0.0,674,43
10269,9600,EDUCATION,0.0,654,89
10270,9600,MEDICAL,0.0,658,18
10271,9600,PERSONAL,0.0,649,29
10272,9600,PERSONAL,0.0,671,33
10273,13000,DEBTCONSOLIDATION,0.0,723,45
10274,5000,VENTURE,0.0,622,31
10275,9600,DEBTCONSOLIDATION,0.0,635,28
10276,7000,DEBTCONSOLIDATION,0.0,648,35
10277,20000,PERSONAL,0.0,636,29
10278,15000,EDUCATION,14.59,611,106
10279,5600,DEBTCONSOLIDATION,14.22,642,51
10280,9600,PERSONAL,0.0,531,21
10281,15000,MEDICAL,0.0,639,48
10282,9600,EDUCATION,0.0,653,57
10283,13200,EDUCATION,0.0,671,89
10284,9600,EDUCATION,0.0,632,84
10285,17500,EDUCATION,0.0,664,40
10286,9600,PERSONAL,0.0,630,49
10287,9600,EDUCATION,0.0,611,94
10288,9600,DEBTCONSOLIDATION,14.42,591,53
10289,9600,MEDICAL,0.0,660,33
10290,10000,PERSONAL,12.21,633,26
10291,18500,HOMEIMPROVEMENT,0.0,623,38
10292,9600,PERSONAL,8.94,662,28
10293,9600,EDUCATION,0.0,609,100
10294,9600,PERSONAL,0.0,666,31
10295,15000,EDUCATION,0.0,691,74
10296,5875,MEDICAL,0.0,608,36
10297,9600,DEBTCONSOLIDATION,0.0,677,40
10298,4000,EDUCATION,0.0,587,79
10299,9600,DEBTCONSOLIDATION,14.11,638,41
10300,9600,PERSONAL,0.0,605,13
10301,9600,HOMEIMPROVEMENT,0.0,608,52
10302,8700,MEDICAL,0.0,588,29
10303,5000,MEDICAL,0.0,707,37
10304,10000,VENTURE,0.0,630,26
10305,15000,EDUCATION,0.0,648,97
10306,9600,DEBTCONSOLIDATION,0.0,575,29
10307,4000,MEDICAL,0.0,620,13
10308,4000,EDUCATION,0.0,642,54
10309,5000,DEBTCONSOLIDATION,0.0,692,53
10310,9600,EDUCATION,0.0,553,109
10311,9700,HOMEIMPROVEMENT,11.34,489,43
10312,8800,HOMEIMPROVEMENT,0.0,667,58
10313,1400,VENTURE,0.0,527,42
10314,9700,MEDICAL,0.0,621,48
10315,12000,EDUCATION,0.0,644,116
10316,18000,DEBTCONSOLIDATION,11.26,655,49
10317,7200,VENTURE,0.0,686,59
10318,1500,MEDICAL,0.0,613,28
10319,9000,HOMEIMPROVEMENT,0.0,615,55
10320,2500,PERSONAL,0.0,680,24
10321,12000,MEDICAL,0.0,639,25
10322,16000,PERSONAL,0.0,483,31
10323,9950,EDUCATION,8.49,722,109
10324,20000,PERSONAL,0.0,559,51
10325,6000,EDUCATION,0.0,551,105
10326,10000,EDUCATION,0.0,573,90
10327,10000,HOMEIMPROVEMENT,7.29,661,42
10328,7000,VENTURE,0.0,656,29
10329,10000,HOMEIMPROVEMENT,10.99,631,46
10330,7000,DEBTCONSOLIDATION,0.0,663,17
10331,10000,MEDICAL,0.0,665,31
10332,10000,VENTURE,6.62,560,32
10333,1000,MEDICAL,0.0,623,36
10334,10000,EDUCATION,7.49,439,48
10335,10000,EDUCATION,10.95,654,91
10336,10000,EDUCATION,11.71,664,84
10337,16000,MEDICAL,0.0,702,17
10338,10000,EDUCATION,13.72,633,77
10339,10000,DEBTCONSOLIDATION,12.73,676,55
10340,7500,EDUCATION,0.0,664,99
10341,3000,PERSONAL,0.0,707,49
10342,29000,VENTURE,0.0,564,31
10343,2500,MEDICAL,0.0,682,44
10344,10400,MEDICAL,0.0,624,23
10345,10000,MEDICAL,13.16,649,26
10346,10000,PERSONAL,12.21,628,21
10347,10000,VENTURE,0.0,551,50
10348,10000,MEDICAL,9.91,628,34
10349,10000,VENTURE,9.63,512,57
10350,10000,MEDICAL,14.59,603,24
10351,10400,EDUCATION,0.0,599,90
10352,12000,EDUCATION,0.0,656,61
10353,5600,DEBTCONSOLIDATION,0.0,638,22
10354,10000,MEDICAL,9.88,660,28
10355,4000,DEBTCONSOLIDATION,0.0,633,36
10356,10000,PERSONAL,7.51,668,12
10357,10000,PERSONAL,9.88,620,60
10358,10000,VENTURE,9.32,502,48
10359,10000,HOMEIMPROVEMENT,9.91,661,39
10360,10000,EDUCATION,11.01,646,103
10361,10000,MEDICAL,11.01,662,15
10362,10000,DEBTCONSOLIDATION,10.38,621,43
10363,12150,HOMEIMPROVEMENT,0.0,662,47
10364,9250,DEBTCONSOLIDATION,0.0,603,39
10365,8800,DEBTCONSOLIDATION,0.0,628,37
10366,4000,VENTURE,0.0,503,55
10367,10000,DEBTCONSOLIDATION,13.48,680,37
10368,3250,VENTURE,0.0,584,60
10369,10000,DEBTCONSOLIDATION,10.99,704,28
10370,10000,DEBTCONSOLIDATION,11.01,633,54
10371,12000,EDUCATION,0.0,593,77
10372,10000,VENTURE,8.7,534,52
10373,25000,EDUCATION,0.0,628,101
10374,6400,PERSONAL,0.0,656,54
10375,10000,PERSONAL,9.64,597,15
10376,10000,PERSONAL,11.01,647,23
10377,13000,VENTURE,0.0,593,26
10378,10000,MEDICAL,8.94,560,47
10379,10000,PERSONAL,11.01,563,37
10380,6000,VENTURE,0.0,619,35
10381,10000,PERSONAL,0.0,589,45
10382,16000,EDUCATION,0.0,659,65
10383,18000,HOMEIMPROVEMENT,12.09,672,38
10384,7000,EDUCATION,0.0,631,89
10385,10000,DEBTCONSOLIDATION,7.66,609,29
10386,10000,VENTURE,11.36,645,51
10387,10000,VENTURE,11.83,603,45
10388,25000,DEBTCONSOLIDATION,17.49,583,57
10389,10000,EDUCATION,0.0,663,56
10390,10000,PERSONAL,8.59,641,56
10391,15000,HOMEIMPROVEMENT,0.0,566,54
10392,10000,PERSONAL,14.11,608,31
10393,16000,VENTURE,0.0,654,50
10394,5525,EDUCATION,0.0,690,66
10395,5000,PERSONAL,0.0,553,43
10396,5000,MEDICAL,0.0,683,17
10397,10000,EDUCATION,15.58,664,84
10398,2500,EDUCATION,11.01,613,73
10399,3250,HOMEIMPROVEMENT,0.0,728,56
10400,10000,DEBTCONSOLIDATION,10.65,641,29
10401,6500,HOMEIMPROVEMENT,0.0,551,53
10402,10000,PERSONAL,10.99,648,12
10403,3500,MEDICAL,10.75,593,17
10404,3900,EDUCATION,0.0,674,105
10405,10000,EDUCATION,16.63,672,54
10406,9600,EDUCATION,0.0,656,84
10407,12000,MEDICAL,0.0,690,25
10408,5500,EDUCATION,0.0,570,85
10409,10000,VENTURE,13.49,627,36
10410,4000,MEDICAL,11.01,636,23
10411,19600,DEBTCONSOLIDATION,15.65,539,30
10412,10000,EDUCATION,7.49,652,104
10413,14400,EDUCATION,0.0,638,36
10414,10000,PERSONAL,16.02,583,26
10415,10000,MEDICAL,11.01,699,27
10416,10000,MEDICAL,6.54,586,30
10417,3000,PERSONAL,0.0,610,12
10418,10000,PERSONAL,9.88,512,12
10419,10000,MEDICAL,10.65,621,26
10420,10000,MEDICAL,11.01,612,35
10421,10000,DEBTCONSOLIDATION,12.73,656,49
10422,10000,EDUCATION,12.61,591,108
10423,10000,EDUCATION,10.28,642,53
10424,10000,DEBTCONSOLIDATION,11.01,540,38
10425,10000,EDUCATION,5.42,548,40
10426,10000,MEDICAL,6.91,587,19
10427,3000,MEDICAL,0.0,556,19
10428,10000,PERSONAL,11.34,650,46
10429,10000,VENTURE,7.49,608,41
10430,10000,MEDICAL,7.29,668,47
10431,9600,EDUCATION,0.0,645,86
10432,10000,VENTURE,10.74,681,32
10433,10000,DEBTCONSOLIDATION,10.0,624,49
10434,6400,VENTURE,0.0,581,34
10435,1700,DEBTCONSOLIDATION,16.77,509,34
10436,2400,DEBTCONSOLIDATION,0.0,614,20
10437,10000,HOMEIMPROVEMENT,11.71,562,58
10438,12000,DEBTCONSOLIDATION,0.0,689,54
10439,12000,VENTURE,0.0,628,37
10440,6500,HOMEIMPROVEMENT,0.0,643,57
10441,10000,HOMEIMPROVEMENT,15.27,608,35
10442,20000,EDUCATION,0.0,621,41
10443,16000,DEBTCONSOLIDATION,0.0,628,34
10444,10000,EDUCATION,13.99,685,38
10445,10000,VENTURE,11.99,606,47
10446,10000,PERSONAL,19.29,695,47
10447,10000,DEBTCONSOLIDATION,7.49,616,44
10448,10000,DEBTCONSOLIDATION,6.99,634,52
10449,9000,EDUCATION,0.0,691,44
10450,8000,MEDICAL,16.29,498,25
10451,6000,HOMEIMPROVEMENT,0.0,620,41
10452,10000,MEDICAL,0.0,563,29
10453,26400,MEDICAL,16.49,610,29
10454,11000,EDUCATION,0.0,641,41
10455,11500,EDUCATION,0.0,700,51
10456,10000,DEBTCONSOLIDATION,10.37,639,40
10457,10000,MEDICAL,5.79,588,20
10458,8000,MEDICAL,0.0,657,46
10459,10000,MEDICAL,7.51,636,42
10460,6500,VENTURE,0.0,576,42
10461,10000,EDUCATION,11.86,692,111
10462,10000,PERSONAL,0.0,618,43
10463,6500,VENTURE,0.0,652,32
10464,10000,EDUCATION,14.35,596,120
10465,10000,PERSONAL,13.98,630,17
10466,8000,DEBTCONSOLIDATION,0.0,589,45
10467,10000,DEBTCONSOLIDATION,11.01,599,49
10468,10000,EDUCATION,0.0,681,73
10469,10000,PERSONAL,0.0,692,30
10470,10000,DEBTCONSOLIDATION,0.0,718,36
10471,10000,MEDICAL,7.51,650,40
10472,6000,VENTURE,0.0,699,37
10473,9750,VENTURE,0.0,708,59
10474,10000,PERSONAL,11.48,597,16
10475,10000,MEDICAL,12.18,656,33
10476,10000,VENTURE,0.0,577,29
10477,10000,MEDICAL,11.14,653,42
10478,10000,VENTURE,11.14,631,30
10479,12000,PERSONAL,0.0,639,40
10480,10000,PERSONAL,11.14,651,45
10481,10000,MEDICAL,14.61,607,38
10482,10000,PERSONAL,11.01,569,24
10483,3600,MEDICAL,0.0,663,32
10484,10000,EDUCATION,0.0,612,99
10485,13000,MEDICAL,0.0,492,44
10486,10000,MEDICAL,9.63,698,18
10487,6000,EDUCATION,0.0,627,73
10488,10000,MEDICAL,12.53,596,12
10489,3500,MEDICAL,0.0,696,41
10490,10000,DEBTCONSOLIDATION,11.66,554,21
10491,10000,PERSONAL,8.38,595,28
10492,14000,VENTURE,0.0,645,60
10493,10000,DEBTCONSOLIDATION,10.37,635,37
10494,10000,DEBTCONSOLIDATION,11.49,646,20
10495,10000,EDUCATION,10.37,598,61
10496,14800,EDUCATION,0.0,621,41
10497,10000,DEBTCONSOLIDATION,7.88,623,53
10498,6500,EDUCATION,0.0,582,119
10499,10000,PERSONAL,8.9,676,55
10500,24250,PERSONAL,0.0,702,20
10501,3600,HOMEIMPROVEMENT,0.0,655,29
10502,10000,VENTURE,14.65,592,55
10503,21000,PERSONAL,0.0,676,26
10504,10000,VENTURE,19.42,655,25
10505,10000,PERSONAL,11.01,656,20
10506,10000,MEDICAL,7.51,607,33
10507,20000,HOMEIMPROVEMENT,17.04,604,33
10508,10000,MEDICAL,9.91,577,32
10509,4000,EDUCATION,0.0,671,40
10510,5500,PERSONAL,0.0,575,59
10511,12000,EDUCATION,0.0,595,89
10512,1000,EDUCATION,0.0,695,55
10513,10000,PERSONAL,12.73,652,33
10514,21000,DEBTCONSOLIDATION,0.0,573,17
10515,7500,MEDICAL,13.8,610,27
10516,9000,HOMEIMPROVEMENT,11.03,678,51
10517,4200,HOMEIMPROVEMENT,0.0,544,44
10518,10000,PERSONAL,6.99,689,55
10519,4000,EDUCATION,0.0,694,38
10520,4000,MEDICAL,11.89,658,22
10521,16000,EDUCATION,0.0,584,48
10522,10000,MEDICAL,7.29,662,19
10523,10000,VENTURE,13.11,686,37
10524,8100,VENTURE,0.0,626,32
10525,10000,VENTURE,16.07,635,37
10526,10000,VENTURE,13.22,671,52
10527,17000,EDUCATION,0.0,713,112
10528,10000,MEDICAL,13.79,561,44
10529,10000,EDUCATION,13.61,622,54
10530,10000,EDUCATION,11.48,657,57
10531,10500,PERSONAL,0.0,661,56
10532,4000,PERSONAL,18.39,590,40
10533,3000,PERSONAL,0.0,716,24
10534,10000,PERSONAL,11.14,509,12
10535,10000,VENTURE,11.48,504,29
10536,6000,MEDICAL,0.0,642,43
10537,1800,VENTURE,0.0,626,48
10538,10000,VENTURE,0.0,563,37
10539,10000,PERSONAL,0.0,618,18
10540,10000,EDUCATION,0.0,676,53
10541,10000,EDUCATION,0.0,631,43
10542,10000,MEDICAL,0.0,626,26
10543,10000,DEBTCONSOLIDATION,11.01,539,19
10544,10000,MEDICAL,0.0,555,30
10545,12000,PERSONAL,0.0,607,50
10546,10000,DEBTCONSOLIDATION,0.0,689,38
10547,10000,EDUCATION,0.0,646,41
10548,9000,MEDICAL,0.0,601,47
10549,10000,VENTURE,0.0,652,36
10550,10000,DEBTCONSOLIDATION,15.7,697,19
10551,10000,VENTURE,0.0,674,29
10552,6500,EDUCATION,0.0,644,92
10553,4200,EDUCATION,0.0,712,120
10554,10000,VENTURE,0.0,654,45
10555,10000,MEDICAL,0.0,627,21
10556,10000,DEBTCONSOLIDATION,9.88,656,53
10557,10000,EDUCATION,0.0,516,55
10558,10000,MEDICAL,0.0,600,33
10559,6000,HOMEIMPROVEMENT,14.74,611,38
10560,20000,EDUCATION,0.0,628,36
10561,6000,DEBTCONSOLIDATION,0.0,656,41
10562,10000,HOMEIMPROVEMENT,12.53,690,48
10563,10000,EDUCATION,0.0,639,113
10564,10000,EDUCATION,0.0,674,88
10565,10000,DEBTCONSOLIDATION,0.0,662,33
